"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1901,0.1106664408369215,0.00021936655587793063,0.00029798114058863216,0.11353864701743403,0.0003007874165438824,0.12305943661756823,0.11785018334508053,0.09786263778566971,0.10279088642161306,0.10671429232668342,0.10278099702165523,0.0002086742309311092,0.12370966928343281
1921,0.11067033384942443,0.00021937279445087565,0.0002980019010164533,0.11353845826922487,0.0003008069577051208,0.12306850377283313,0.11785505903859426,0.09785590066415156,0.10278236052133023,0.10671135238316183,0.10277256019926428,0.0002086809219231434,0.12371860872691973
1941,0.11067416580327774,0.00021937894454752662,0.0002980223848897188,0.1135382675600352,0.00030082624498262096,0.12307746023112526,0.11785986951396257,0.09784925161960073,0.10277394889874576,0.10670844426307677,0.10276423628049117,0.0002086875243378097,0.12372744073092719
1961,0.11067793764018215,0.00021938500742338905,0.00029804259587467766,0.11353807497162034,0.0003008452816589998,0.12308630734186278,0.11786461564097737,0.0978426894971047,0.10276565001251138,0.10670556764385918,0.10275602374514718,0.0002086940393510515,0.12373616658242698
1981,0.11068165028751722,0.00021939098431624068,0.0002980625375897386,0.11353788058395956,0.000300864070975061,0.12309504643803904,0.11786929827786637,0.0978362131569321,0.10275746234218887,0.1067027222058352,0.1027479210936286,0.00020870046812323568,0.12374478755302872
2001,0.11068530465855644,0.00021939687644637767,0.00029808221360606943,0.1135376844752883,0.0003008826161303079,0.12310367883642247,0.11787391827144633,0.0978298214743335,0.10274938438796531,0.10669990763220655,0.10273992684663683,0.00020870681179935676,0.12375330489916224
2021,0.11068890165267839,0.00021940268501685742,0.0002981016274481904,0.11353748672212945,0.0003009009202834504,0.12311220583775374,0.11787847645727427,0.09782351333934357,0.10274141467037094,0.10669712360903165,0.1027320395449019,0.0002087130715092373,0.12376171986225849
2041,0.11069244215557593,0.00021940841121373893,0.00029812078259456036,0.1135372873993247,0.00030091898655290746,0.12312062872694067,0.1178829736597964,0.09781728765658668,0.10273355173000298,0.10669436982520561,0.10272425774891013,0.00020871924836772678,0.1237700336689278
2061,0.11069592703946153,0.00021941405620631984,0.00029813968247815667,0.11353708658006462,0.0003009368180173029,0.12312894877325074,0.11788741069249596,0.09781114334508478,0.10272579412725168,0.10669164597244178,0.1027165800386355,0.00020872534347489804,0.12377824753113673
2081,0.11069935716326929,0.0002194196211473691,0.0002981583304870481,0.11353688433591877,0.00030095441771595566,0.12313716723050083,0.11789178835803771,0.0978050793380679,0.10271814044203045,0.10668895174525213,0.1027090050132745,0.00020873135791624013,0.1237863626463819
