"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1721,0.00018006602766988764,0.005405902884531909,0.00034124765259061813,0.0009198094417558716,0.0008342238797911327,0.00038495187864668614,0.000475687042828623,0.006716258105279534,0.9763580556209139,0.00035289559261962496,0.00636730282144343,0.0011580423692396837,0.0005055566826891682
1741,0.00018006602744234505,0.0054059027138466395,0.00034124765228922343,0.0009198094409349346,0.0008342238790981322,0.00038495187830188887,0.0004756870421666461,0.00671625757622772,0.9763580575601833,0.0003528955923924593,0.006367301586988758,0.0011580423678383771,0.0005055566822895304
1761,0.0001800660272612454,0.005405902581876639,0.0003412476520489976,0.0009198094402795858,0.0008342238785459052,0.00038495187802665954,0.0004756870416393893,0.00671625715361603,0.9763580590913123,0.0003528955922112968,0.006367300614485536,0.0011580423667257383,0.0005055566819706295
1781,0.0001800660271171062,0.00540590247977812,0.0003412476518575228,0.0009198094397564349,0.0008342238781058375,0.0003849518778069659,0.0004756870412194252,0.0067162568160362085,0.9763580603003567,0.0003528955920668197,0.00636729984834039,0.001158042365842237,0.000505556681716157
1801,0.00018006602700238182,0.005405902400741495,0.0003412476517049032,0.000919809439338826,0.0008342238777551381,0.00038495187763160657,0.0004756870408849139,0.006716256546384456,0.9763580612551914,0.00035289559195159857,0.0063672992447596725,0.0011580423651406347,0.0005055566815130992
1821,0.00018006602691106733,0.005405902339520351,0.00034124765158325196,0.0009198094390054714,0.0008342238774756473,0.0003849518774916365,0.00047568704061846104,0.006716256330996228,0.9763580620093592,0.00035289559185970815,0.006367298769244717,0.0011580423645834417,0.0005055566813510691
1841,0.00018006602683838443,0.005405902292070186,0.00034124765148628363,0.0009198094387393787,0.0008342238772529011,0.0003849518773799171,0.0004756870404062159,0.006716256158954924,0.9763580626051038,0.00035289559178642394,0.0063672983946189005,0.001158042364140905,0.0005055566812217782
1861,0.00018006602678053018,0.005405902255271175,0.00034124765140898885,0.0009198094385269788,0.0008342238770753712,0.000384951877290747,0.00047568704023714584,0.006716256021539427,0.9763580630757603,0.00035289559172797753,0.00636729809947342,0.0011580423637894063,0.0005055566811186121
1881,0.00018006602673447829,0.005405902226715331,0.00034124765134737527,0.0009198094383574418,0.0008342238769338756,0.0003849518772195766,0.00047568704010246597,0.006716255911782746,0.976358063447636,0.000352895591681365,0.0063672978669430565,0.001158042363510201,0.000505556681036293
1901,0.0001800660266978202,0.005405902204542915,0.00034124765129826075,0.0009198094382221183,0.0008342238768210962,0.00038495187716277294,0.00047568703999517837,0.006716255824119245,0.9763580637414956,0.00035289559164418963,0.006367297683741774,0.0011580423632884035,0.0005055566809706086
